Medicine,Active Ingredient(s),Drug Class
Lexapro,Escitalopram,SSRI
  Vicodin,"Acetaminophen, Hydrocodone","Analgesic/antipyretic, Opioid"
"Prinivil, Qbrelis",Lisinopril,ACE inhibitor
Zocor,Simvastatin,Statin
Synthroid,Levothyroxine,Thyroid hormone
"Amoxil, Trimox",Amoxicillin,Antibacterial drug
Zithromax,Azithromycin,Macrolide antibacterial
"Microzide, Aquazide",Hydrochlorothiazide,Thiazide diuretic
Norvasc,Amlodipine,Calcium channel blocker
Xanax,Alprazolam,Benzodiazepine
Glucophage,Metformin,Oral antidiabetic drug
Lipitor,Atorvastatin,Statin
Prilosec,Omeprazole,Proton-pump inhibitor
"Cipro, Proquin",Ciprofloxacin,Fluoroquinolone
Zofran,Ondansetron,Antiemetic drug
Clozaril,Clozapine,Antipsychotic drug
Lasix,Furosemide,Loop diuretic
Levitra,Vardenafil,PDE5 inhibitor
"Sumycin, Ala-Tet, Brodspec",Tetracycline  ,Antibacterial drug
Heparin Sodium,Heparin,Anticoagulant drug
Valcyte,Valganciclovir,Antiviral drug
Lamictal,Lamotrigine,Anticonvulsant drug
Diflucan,Fluconazole,Antifungal drug
Tenormin,Atenolol,Beta-blocker
Singulair,Montelukast,Leukotriene inhibitor
Flonase Nasal Spray,Fluticasone propionate,Corticosteroid
Zyloprim,Allopurinol,Anti-gout drug
Fosamax,Alendronate,Bisphosphonate
Pepcid,Famotidine,H2 antagonist
Omnicef,Cefdinir,Cephalosporin
Yaz,"Ethinyl estradiol, Drospirenone",Birth control medicine
Apresoline,Hydralazine,Antihypertensive drug
Cogentin,Benztropine,Antiparkinsonian drug
"Tussionex, PennKinetic ",Chlorpheniramine,Antihistamine
Paxil,Paroxetine,SSRI
Ativan,Lorazepam,Benzodiazepine
Pyridium,Phenazopyridine,Analgesic
Plaquenil,Hydroxychloroquine,Anti-malarial drug
Lidoderm,Lidocaine,Local anesthetic
Cataflam,Diclofenac,NSAID
"Rayos, Deltasone",Prednisone,Corticosteroid
Zetia,Ezetimibe,Antihyperlipidemic
Evista,Raloxifene,Estrogen modulator
Dilantin,Phenytoin,Anticonvulsant drug
Lovaza,Omega-3 fatty acids,Anti-triglyceride drug
Zanaflex,Tizanidine,Muscle relaxant
Hytrin,Terazosin,Alpha-1 blocker
Dyrenium,Triamterene,Potassium-sparing diuretic
Altace,Ramipril,ACE inhibitor
Pravachol,Pravastatin,Statin
Risperdal,Risperidone,Antipsychotic drug
Lunesta,Eszopiclone,Z-drug / hypnotic
Celebrex,Celecoxib,COX-inhibitor / NSAID
Premarin,Conjugated estrogens,Estrogen replacement
Avelox,Moxifloxacin,Fluoroquinolone
Aricept,Donepezil,Acetylcholinesterase inhibitor
"Macrobid, Macrodantin",Nitrofurantoin  ,Antibacterial drug
Duragesic Skin Patch,Fentanyl,Opioid narcotic
Imdur,Isosorbide mononitrate,Nitrate
"Prozac, Sarafem",Fluoxetine,SSRI
Aristocort,Triamcinolone,Corticosteroid
Suboxone,"Buprenorphine, Naloxone","Narcotic, Opioid blocker"
Vyvanse,Lisdexamfetamine,CNS Stimulant
Pamelor,Nortriptyline,Tricyclic antidepressant
HumaLOG,Insulin lispro,Rapid-acting insulin
"Depacon, Depakote",Valproate sodium,Anticonvulsant drug
"BetaSept, ChloraPrep",Chlorhexidine,Disinfectant/antiseptic
Bentyl,Dicyclomine,Anti-spasmodic drug
Imitrex,Sumatriptan,Anti-migraine drug
Protonix,Pantoprazole,Proton-pump inhibitor
Lopressor,Metoprolol,Beta-blocker
Robitussen,"Dextromethorphan, Guaifenesin","Antitussive, Expectorant"
Valium,Diazepam,Benzodiazepine
Viagra,Sildenafil,PDE5 inhibitor
Bactroban,Mupirocin,Antibacterial drug
Januvia,Sitagliptin,Antidiabetic drug
Reglan,Metoclopramide,Dopamine antagonist
Relafen,Nabumetone,NSAID
Keflex,Cephalexin,Cephalosporin
Effexor,Venlafaxine,SNRI
Boniva,Ibandronate,Bisphosphonate
Zantac,Ranitidine,H2 antagonist
"Ex-Lax, Senna Lax",Senna,Laxative
NovoLog,Insulin aspart,Rapid-acting insulin
"Bayer, Ecotrin, Bufferin",Aspirin,"Antipyretic, Analgesic"
Lioresal,Baclofen,Muscle relaxant
Flagyl,Metronidazole,"Antibacterial drug, Antiprotozoal drug"
Keppra,Levetiracetam,Anticonvulsant drug
"Colcrys, Mitigare",Colchicine,Anti-gout drug
Zyprexa,Olanzapine,Antipsychotic drug
Avodart,Dutasteride,5-alpha reductase inhibitor
"TriCor, Antara",Fenofibrate,Fibrate
Cardura,Doxazosin,Alpha-1 blocker
Aleve,Naproxen,NSAID
Aldactone,Spironolactone,Potassium-sparing diuretic
Namenda,Memantine,NMDA antagonist
Methadose,Methadone,Opioid analgesic
"Vasotec, Epaned",Enalapril,ACE inhibitor
Tamiflu,Oseltamivir,Antiviral drug
Requip,Ropinirole,Antiparkinsonian drug
"PC Pen VK, Pen V",Penicillin,Beta-lactam antibacterial
Strattera,Atomoxetine,Norepinephrine reuptake inhibitor
Ambien,Zolpidem,Z-drug / hypnotic
Advair,"Salmeterol, Fluticasone",Bronchodilators
Levaquin,Levofloxacin,Fluoroquinolone
Tofranil,Imipramine,Tricyclic antidepressant
"Reclast, Zometa",Zoledronic acid,Bisphosphonate
Glucotrol,Glipizide,Antidiabetic drug
Constulose,Lactulose,Laxative
AcipHex,Rabeprazole,Proton-pump inhibitor
Otrexup,Methotrexate,DMARD
Cleocin,Clindamycin,Antibacterial drug
Tylenon,Acetaminophen,Analgesic / antipyretic
Feosol,Ferrous sulfate,Iron supplement
Relpax,Eletriptan,Antimigraine drug
"Carbacot, Robaxin",Methocarbamol,Muscle relaxant
DiaBeta,Glyburide,Antidiabetic drug
Celexa,Citalopram,SSRI
Benicar,Hydrochlorothiazide Olmesartan,"Thiazide diuretic, Angiotensin II blocker"
Coreg,Carvedilol,Beta-blocker
Spiriva,Tiotropium,Anticholinergic
Xolair,Omalizumab,Monoclonal antibody
NitroStat Sublingual,Nitroglycerin,Nitrate
Eliquis,Apixaban,Anticoagulant
Neurontin,Gabapentin,Anticonvulsant drug
Enbrel,Etanercept,DMARD
